SR CREATE DATE,call_year,call_month,call_day,weatherflag,call_count
2018-02-06,2018,2,6,0,1489
2018-02-07,2018,2,7,0,1138
2018-02-08,2018,2,8,0,1141
2018-02-09,2018,2,9,0,1160
2018-02-10,2018,2,10,0,750
2018-02-11,2018,2,11,0,318
2018-02-12,2018,2,12,0,1344
2018-02-13,2018,2,13,0,1243
2018-02-14,2018,2,14,0,1083
2018-02-15,2018,2,15,0,1230
2018-02-16,2018,2,16,0,1146
2018-02-17,2018,2,17,0,438
2018-02-18,2018,2,18,0,397
2018-02-19,2018,2,19,0,1253
2018-02-20,2018,2,20,0,1262
2018-02-21,2018,2,21,0,1153
2018-02-22,2018,2,22,0,1071
2018-02-23,2018,2,23,0,1193
2018-02-24,2018,2,24,0,478
2018-02-25,2018,2,25,0,358
2018-02-26,2018,2,26,0,1182
2018-02-27,2018,2,27,0,1355
2018-02-28,2018,2,28,0,1219
2018-03-01,2018,3,1,0,1221
2018-03-02,2018,3,2,0,1068
2018-03-03,2018,3,3,0,564
2018-03-04,2018,3,4,0,455
2018-03-05,2018,3,5,0,1425
2018-03-06,2018,3,6,0,1304
2018-03-07,2018,3,7,0,1220
2018-03-08,2018,3,8,0,1147
2018-03-09,2018,3,9,0,1170
2018-03-10,2018,3,10,0,541
2018-03-11,2018,3,11,0,308
2018-03-12,2018,3,12,0,1240
2018-03-13,2018,3,13,0,1268
2018-03-14,2018,3,14,0,1058
2018-03-15,2018,3,15,0,1147
2018-03-16,2018,3,16,0,1035
2018-03-17,2018,3,17,0,461
2018-03-18,2018,3,18,0,327
2018-03-19,2018,3,19,0,1449
2018-03-20,2018,3,20,0,1383
2018-03-21,2018,3,21,0,1145
2018-03-22,2018,3,22,0,1203
2018-03-23,2018,3,23,0,1130
2018-03-24,2018,3,24,0,482
2018-03-25,2018,3,25,0,352
2018-03-26,2018,3,26,0,1207
2018-03-27,2018,3,27,0,1357
2018-03-28,2018,3,28,1,1369
2018-03-29,2018,3,29,1,1327
2018-03-30,2018,3,30,0,976
2018-03-31,2018,3,31,0,342
2018-04-01,2018,4,1,0,245
2018-04-02,2018,4,2,0,1159
2018-04-03,2018,4,3,1,1692
2018-04-04,2018,4,4,0,1425
2018-04-05,2018,4,5,0,1337
2018-04-06,2018,4,6,0,1492
2018-04-07,2018,4,7,0,386
2018-04-08,2018,4,8,0,323
2018-04-09,2018,4,9,0,1084
